terme,definition,reference,exclusions,langue,doc_id,modele,nom_scientifique,exchanges
CSITEP,Classification statistique internationale type des engins de pêche,Page 1,,fr,I001,qwen3-8b,,
CWP,Groupe de travail chargé de coordonner les statistiques de pêche,Page 1,,fr,I001,qwen3-8b,,
FAO,Organisation des Nations Unies pour l'alimentation et l'agriculture,Page 3,,fr,I001,qwen3-8b,,
INDNR,"Pêche illicite, non déclarée et non réglementée",Page 1,,fr,I001,qwen3-8b,,
engins de pêche,Les engins de pêche typiques,Page 1,,fr,I001,qwen3-8b,,
captures de pêche,Les captures de pêche effectuées par les différents types d’engins,Page 1,,fr,I001,qwen3-8b,,
permis et autorisations des opérations de pêche,Les permis et les autorisations des opérations de pêche,Page 1,,fr,I001,qwen3-8b,,
statistiques de pêche,Les statistiques de pêche,Page 1,,fr,I001,qwen3-8b,,
pêches commerciales,Les pêches commerciales,Page 1,,fr,I001,qwen3-8b,,
pêches de subsistance,Les pêches de subsistance,Page 1,,fr,I001,qwen3-8b,,
pêches récréatives,Les pêches récréatives,Page 1,,fr,I001,qwen3-8b,,
pêche illicite,La pêche illicite,Page 1,,fr,I001,qwen3-8b,,
pêche non déclarée,La pêche non déclarée,Page 1,,fr,I001,qwen3-8b,,
pêche non réglementée,La pêche non réglementée,Page 1,,fr,I001,qwen3-8b,,
"personnel de suivi, de contrôle et de surveillance","Le personnel de suivi, de contrôle et de surveillance",Page 1,,fr,I001,qwen3-8b,,
informations permettant d’identifier le type d’engin de pêche,Les informations permettant d’identifier le type d’engin de pêche,Page 1,,fr,I001,qwen3-8b,,
contexte et des références,Le contexte et des références,Page 1,,fr,I001,qwen3-8b,,
problèmes contemporains en matière de conservation,Les problèmes contemporains en matière de conservation,Page 1,,fr,I001,qwen3-8b,,
types d’engins de pêche,Les types d’engins de pêche,Page 1,,fr,I001,qwen3-8b,,
texte de référence,Le texte de référence,Page 1,,fr,I001,qwen3-8b,,
étudiants et les chercheurs,Les étudiants et les chercheurs,Page 1,,fr,I001,qwen3-8b,,
domaines des pêches,Les domaines des pêches,Page 1,,fr,I001,qwen3-8b,,
conservation marine,La conservation marine,Page 1,,fr,I001,qwen3-8b,,
gins de pêche,Document technique de la FAO sur les pêches et l'aquaculture nº 672.,Règle 1,,fr,I001,qwen3-8b,,
FAO,Organisation des Nations Unies pour l’alimentation et l’agriculture,Définitions,,fr,I001,qwen3-8b,,
ISBN,Identifiant international standard du document,Définitions,,fr,I001,qwen3-8b,,
ISSN,Identifiant international standard des séries,Définitions,,fr,I001,qwen3-8b,,
Creative Commons,Licence Attribution-Pas d’Utilisation Commerciale-Partage dans les Mêmes Conditions 3.0 Organisations Intergouvernementales,Définitions,,fr,I001,qwen3-8b,,
CC BY-NC-SA 3.0 IGO,Licence Attribution-Pas d’Utilisation Commerciale-Partage dans les Mêmes Conditions 3.0 Organisations Intergouvernementales,Définitions,,fr,I001,qwen3-8b,,
logo de la FAO,Logo de l’Organisation des Nations Unies pour l’alimentation et l’agriculture,Définitions,non autorisée,fr,I001,qwen3-8b,,
traduction,Traduction d'une œuvre,Définitions,doit être accompagnée de la mention de la source et de la clause de non-responsabilité,fr,I001,qwen3-8b,,
WGFTFB,groupe de travail CIEM-FAO sur les technologies des pêches et le comportement du poisson,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
CWP,groupe de travail chargé de coordonner les statistiques de pêche,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Nédélec, C.; Prado, J.","Définition et classification des catégories d’engins de pêche. Document technique de la FAO sur les pêches, nº 222. Révision 1. Rome, FAO, 1990, 92p.",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Ferro, R.S.T.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Chopin, F.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Suuronen, P.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Tsuji, S.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Walsh, S.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Dahm, E.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Chokesanguan, B.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Eayrs, S.","participant à la révision de la classification, et à l’initiation du document",Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"He, P.",complété et finalisé le document,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Ari Gudmundsson, M.",ancien responsable de la Fishing and Operations Branch (Sous-division de l’industrie de la pêche et des opérations),Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Matthew Camilleri, M.",ancien responsable de la Fishing and Operations Branch (Sous-division de l’industrie de la pêche et des opérations),Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Raymon van Anrooy, M.",responsable actuel du département des opérations de pêche,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
Seafish,(Royaume-Uni de Grande-Bretagne et d’Irlande du Nord) a généreusement autorisé l’utilisation de 35 dessins,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
Southeast Asian Fisheries Development Centre,(Thaïlande) et M. T. Cracolici (États-Unis d’Amérique) à la demande de la FAO,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
"Cracolici, M. T.",réalisé des dessins supplémentaires à la demande de la FAO,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
P.,réalisé des dessins au trait,Article 1 / Règle 1,,fr,I001,qwen3-8b,,
pêches commerciales,pêches effectuées à des fins commerciales,Résumé,,fr,I001,qwen3-8b,,
pêches de subsistance,pêches effectuées pour subvenir aux besoins fondamentaux,Résumé,,fr,I001,qwen3-8b,,
pêches récréatives,pêches effectuées à des fins récréatives,Résumé,,fr,I001,qwen3-8b,,
engins de pêche,outils utilisés pour capturer des poissons,Résumé,,fr,I001,qwen3-8b,,
pêche illicite,pêche non autorisée,Résumé,,fr,I001,qwen3-8b,,
pêche non déclarée,pêche non signalée aux autorités compétentes,Résumé,,fr,I001,qwen3-8b,,
pêche non réglementée,pêche non soumise à des règles ou lois,Résumé,,fr,I001,qwen3-8b,,
INDNR,"pêche illicite, non déclarée et non réglementée",Résumé,,fr,I001,qwen3-8b,,
personnel de suivi,agents chargés de surveiller les activités de pêche,Résumé,,fr,I001,qwen3-8b,,
personnel de contrôle,agents chargés de vérifier la conformité aux lois de pêche,Résumé,,fr,I001,qwen3-8b,,
personnel de surveillance,agents chargés de veiller à la sécurité et à la légalité des activités de pêche,Résumé,,fr,I001,qwen3-8b,,
captures de pêche,poissons capturés lors d'une activité de pêche,Résumé,,fr,I001,qwen3-8b,,
permis,autorisation officielle pour exercer une activité de pêche,Résumé,,fr,I001,qwen3-8b,,
autorisations,documents officiels accordant le droit d'effectuer des opérations de pêche,Résumé,,fr,I001,qwen3-8b,,
statistiques de pêche,données recueillies sur les activités de pêche,Résumé,,fr,I001,qwen3-8b,,
gestion des pêches,mesures prises pour contrôler et protéger les ressources halieutiques,Résumé,,fr,I001,qwen3-8b,,
conservation,protection et préservation des ressources naturelles,Résumé,,fr,I001,qwen3-8b,,
contexte,informations nécessaires pour comprendre un sujet,Résumé,,fr,I001,qwen3-8b,,
références,sources d'information utilisées pour soutenir un argument ou une idée,Résumé,,fr,I001,qwen3-8b,,
étudiants,personnes en formation académique,Résumé,,fr,I001,qwen3-8b,,
chercheurs,personnes effectuant des recherches scientifiques,Résumé,,fr,I001,qwen3-8b,,
pêches,activité consistant à capturer des poissons,Résumé,,fr,I001,qwen3-8b,,
conservation marine,protection des écosystèmes marins,Résumé,,fr,I001,qwen3-8b,,
CWP,Groupe de travail chargé de coordonner les statistiques de pêche de l'Atlantique,Introduction,,fr,I001,qwen3-8b,,
CIEM,Conseil international pour l'exploration de la mer,Introduction,,fr,I001,qwen3-8b,,
CIPAN,Commission internationale pour les pêches de l'Atlantique Nord-Ouest,Introduction,,fr,I001,qwen3-8b,,
OPANO,Organisation des pêches de l'Atlantique Nord,Introduction,,fr,I001,qwen3-8b,,
UNGA,Assemblée générale des Nations Unies,Introduction,,fr,I001,qwen3-8b,,
WGFTFB,Groupe de travail CIEM-FAO sur les technologies des pêches et le comportement du poisson,Introduction,,fr,I001,qwen3-8b,,
Membres de la FAO,Membres de l'Organisation des Nations Unies pour l'alimentation et l'agriculture,Introduction,,fr,I001,qwen3-8b,,
ORP,Organes régionaux de pêche,Introduction,,fr,I001,qwen3-8b,,
